timestamp,symbol,direction,entry,sl,tp1,tp2,tp3,score,grade,rr,adx,rsi,rel_volume,spike_tier,mtf_status,btc_regime,rs_label,funding_pct,oi_signal,beta_label,status
2026-06-19T23:39:35.298949+00:00,AERO/USDT:USDT,LONG,0.4747,0.46158799,0.50748003,0.52714805,0.55337207,89.42,A,2.5,26.9,55.2,1.24,NORMAL,ALLOWED,RANGE,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-06-20T04:45:01.770245+00:00,PI/USDT:USDT,LONG,0.1363,0.13479127,0.14007182,0.14233491,0.14535236,92.14,A,2.5,39.81,60.0,1.1,NORMAL,ALLOWED,RANGE,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-20T12:20:32.078670+00:00,MASK/USDT:USDT,LONG,0.3914,0.38402448,0.4098388,0.42090207,0.43565311,97.2,S,2.5,38.66,57.37,1.39,NORMAL,ALLOWED,RANGE,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-20T12:20:32.763935+00:00,ZEN/USDT:USDT,LONG,4.649,4.58997628,4.79655931,4.8850949,5.00314234,87.63,A,2.5,43.29,61.26,1.06,NORMAL,ALLOWED,RANGE,STRONG,0.01,NEUTRAL,N/A,SL_HIT
2026-06-20T12:20:33.438660+00:00,WDC/USDT:USDT,LONG,775.94,766.36005019,799.88987452,814.25979923,833.41969884,79.43,B,2.5,32.84,61.07,1.05,NORMAL,ALLOWED,RANGE,STRONG,0.0,NEUTRAL,N/A,SL_HIT
2026-06-20T14:37:48.022169+00:00,SKHYNIX/USDT:USDT,LONG,1892.73,1869.19057221,1951.57856947,1986.88771116,2033.96656674,100.0,S,2.5,26.47,59.73,1.29,NORMAL,CONFIRMED,RANGE,STRONG,0.0,NEUTRAL,N/A,SL_HIT
2026-06-20T16:06:18.823138+00:00,TLM/USDT:USDT,LONG,0.001047,0.00102061,0.00111298,0.00115257,0.00120536,95.53,S,2.5,52.53,57.86,1.09,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-20T16:06:19.513139+00:00,CTR/USDT:USDT,LONG,0.01126,0.01104411,0.01179972,0.01212355,0.01255533,81.66,B,2.5,33.72,59.19,1.94,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-20T19:02:46.891830+00:00,ALLO/USDT:USDT,LONG,0.4002,0.39169159,0.42147103,0.43423364,0.45125046,89.35,A,2.5,31.23,59.29,1.4,NORMAL,ALLOWED,BULL,STRONG,0.0075,NEUTRAL,N/A,SL_HIT
2026-06-20T19:02:47.453418+00:00,IMX/USDT:USDT,LONG,0.1438,0.14198963,0.14832592,0.15104147,0.15466221,88.43,A,2.5,25.63,57.74,1.17,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-20T19:02:47.994373+00:00,ONG/USDT:USDT,LONG,0.04729,0.04693034,0.04818915,0.04872863,0.04944795,91.6,A,2.5,26.65,60.83,1.58,ELEVATED,ALLOWED,BULL,STRONG,-0.0001,NEUTRAL,N/A,SL_HIT
2026-06-21T00:04:41.490551+00:00,MAV/USDT:USDT,LONG,0.01064,0.01054076,0.01088809,0.01103695,0.01123542,86.45,A,2.5,26.36,59.39,1.88,ELEVATED,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,SL_HIT
2026-06-21T05:16:14.917010+00:00,CHR/USDT:USDT,LONG,0.01613,0.01586078,0.01680304,0.01720687,0.01774531,100.0,S,2.5,41.07,58.88,1.92,ELEVATED,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,SL_HIT
2026-06-21T05:16:15.536982+00:00,MASK/USDT:USDT,LONG,0.4081,0.40189976,0.4236006,0.43290096,0.44530144,85.59,A,2.5,38.27,63.47,1.32,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-21T05:16:16.171088+00:00,CTR/USDT:USDT,LONG,0.01151,0.01130858,0.01201354,0.01231567,0.01271851,85.91,A,2.5,52.95,61.59,1.11,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-06-22T16:06:29.662847+00:00,FARTCOIN/USDT:USDT,LONG,0.1296,0.12728669,0.13538327,0.13885322,0.14347984,93.52,A,2.5,25.15,55.59,1.32,NORMAL,ALLOWED,BULL,STRONG,0.0016,NEUTRAL,N/A,SL_HIT
